cust_ucv_id,src_frst_trns_dt,last_trns_dt,banner_desc,sale_chnl_desc,SRC_BC_node,banner_order,banner_desc_tgt,sale_chnl_desc_tgt,TGT_BC_node,tgt_frst_trns_dt,trans_tgt_days,trans_desc,bc_path,vertical_depth,link_src,link_tgt,banner_path,banner_depth
-100003261420340794,2025-05-10,2025-05-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000033053896973243,2024-11-19,2024-11-19,W2,BRICK,W2 BRICK,1,CASHI,CASHI,CASHI,2024-11-19,0,1 --> 2,W2 BRICK,2,W2 BRICK_1,CASHI_2,CASHI > W2,2
-1000033053896973243,2024-11-19,2024-11-19,CASHI,CASHI,CASHI,2,,,STAYED,,,,W2 BRICK > CASHI,2,CASHI_2,STAYED_3,CASHI > W2,2
-1000033107137829050,2024-10-18,2024-10-18,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000033535259442235,2025-04-02,2025-04-02,CASHI,CASHI,CASHI,1,B3,BRICK,B3 BRICK,2025-04-02,0,1 --> 2,CASHI,2,CASHI_1,B3 BRICK_2,CASHI > B3,2
-1000033535259442235,2025-04-02,2025-04-02,B3,BRICK,B3 BRICK,2,,,STAYED,,,,CASHI > B3 BRICK,2,B3 BRICK_2,STAYED_3,CASHI > B3,2
-1000033640946376250,2025-02-03,2025-02-03,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000034139726805818,2025-03-07,2025-03-07,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000034139726805818,2025-02-21,2025-05-01,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-03-07,14,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000034206649457274,2024-10-18,2025-04-23,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000034295700631295,2023-02-27,2025-05-27,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000034360406711487,2025-03-23,2025-03-23,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-100003447120831802,2025-06-24,2025-06-24,W2,BRICK,W2 BRICK,1,,,STAYED,,,,W2 BRICK,1,W2 BRICK_1,STAYED_2,W2,1
-1000034605140677499,2025-04-28,2025-04-28,W2,BRICK,W2 BRICK,1,CASHI,CASHI,CASHI,2025-04-28,0,1 --> 2,W2 BRICK,2,W2 BRICK_1,CASHI_2,W2 > CASHI,2
-1000034605140677499,2025-04-28,2025-04-28,CASHI,CASHI,CASHI,2,,,STAYED,,,,W2 BRICK > CASHI,2,CASHI_2,STAYED_3,W2 > CASHI,2
-1000034740458004474,2025-02-23,2025-07-08,B3,BRICK,B3 BRICK,2,,,STAYED,,,,W2 BRICK > B3 BRICK,2,B3 BRICK_2,STAYED_3,W2 > B3,2
-1000034740458004474,2025-02-03,2025-08-13,W2,BRICK,W2 BRICK,1,B3,BRICK,B3 BRICK,2025-02-23,20,1 --> 2,W2 BRICK,2,W2 BRICK_1,B3 BRICK_2,W2 > B3,2
-1000035239238434042,2025-02-21,2025-02-21,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000035306161085498,2024-10-18,2025-08-10,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000035839969632698,2025-02-03,2025-06-12,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000035939733184698,2025-05-12,2025-08-02,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000036155763219386,2025-05-09,2025-05-09,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000036539246970298,2025-07-25,2025-07-25,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000036539246970298,2025-07-10,2025-08-13,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-07-25,15,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000036939481260922,2025-02-03,2025-02-03,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000037145703146747,2025-01-12,2025-03-27,W2,BRICK,W2 BRICK,2,CASHI,CASHI,CASHI,2025-01-12,0,2 --> 3,SAMS BRICK > W2 BRICK,3,W2 BRICK_2,CASHI_3,SAMS > W2 > CASHI,3
-1000037145703146747,2022-04-11,2025-03-12,SAMS,BRICK,SAMS BRICK,1,W2,BRICK,W2 BRICK,2025-01-12,1007,1 --> 2,SAMS BRICK,3,SAMS BRICK_1,W2 BRICK_2,SAMS > W2 > CASHI,3
-1000037145703146747,2025-01-12,2025-03-27,CASHI,CASHI,CASHI,3,,,STAYED,,,,SAMS BRICK > W2 BRICK > CASHI,3,CASHI_3,STAYED_4,SAMS > W2 > CASHI,3
-1000037505184341882,2024-10-18,2024-10-18,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000037675970628859,2025-03-11,2025-06-01,B3,BRICK,B3 BRICK,2,,,STAYED,,,,CASHI > B3 BRICK,2,B3 BRICK_2,STAYED_3,CASHI > B3,2
-1000037675970628859,2025-03-11,2025-06-02,CASHI,CASHI,CASHI,1,B3,BRICK,B3 BRICK,2025-03-11,0,1 --> 2,CASHI,2,CASHI_1,B3 BRICK_2,CASHI > B3,2
-1000038038992889082,2025-02-03,2025-07-30,B3,BRICK,B3 BRICK,1,W2,BRICK,W2 BRICK,2025-02-20,17,1 --> 2,B3 BRICK,2,B3 BRICK_1,W2 BRICK_2,B3 > W2,2
-1000038038992889082,2025-02-20,2025-07-04,W2,BRICK,W2 BRICK,2,,,STAYED,,,,B3 BRICK > W2 BRICK,2,W2 BRICK_2,STAYED_3,B3 > W2,2
-1000038138756441146,2025-05-12,2025-05-12,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
-1000038316792246271,2022-01-02,2025-08-03,SAMS,BRICK,SAMS BRICK,1,,,STAYED,,,,SAMS BRICK,1,SAMS BRICK_1,STAYED_2,SAMS,1
-1000038354786475834,2025-05-09,2025-05-09,B3,BRICK,B3 BRICK,1,,,STAYED,,,,B3 BRICK,1,B3 BRICK_1,STAYED_2,B3,1
